Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Cystophora,cristata,54.25,6.75,1500:246:2,0.04
Cystophora,cristata,54.75,6.25,1500:246:3,0.04
Cystophora,cristata,54.75,6.75,1500:246:4,0.04
Cystophora,cristata,54.25,7.25,1500:247:1,0.04
Cystophora,cristata,54.25,7.75,1500:247:2,0.03
Cystophora,cristata,54.75,7.25,1500:247:3,0.03
Cystophora,cristata,54.75,7.75,1500:247:4,0.02
Cystophora,cristata,54.25,8.25,1500:248:1,0.02
Cystophora,cristata,54.25,8.75,1500:248:2,0.01
Cystophora,cristata,54.75,8.25,1500:248:3,0.02
Cystophora,cristata,54.75,8.75,1500:248:4,0.01
Cystophora,cristata,55.25,0.25,1500:350:1,0.07
Cystophora,cristata,55.25,0.75,1500:350:2,0.07
Cystophora,cristata,55.75,0.25,1500:350:3,0.07
Cystophora,cristata,55.75,0.75,1500:350:4,0.06
Cystophora,cristata,55.25,1.25,1500:351:1,0.05
Cystophora,cristata,55.25,1.75,1500:351:2,0.04
Cystophora,cristata,55.75,1.25,1500:351:3,0.07
Cystophora,cristata,55.75,1.75,1500:351:4,0.08
Cystophora,cristata,55.25,2.25,1500:352:1,0.04
Cystophora,cristata,55.25,2.75,1500:352:2,0.03
Cystophora,cristata,55.75,2.25,1500:352:3,0.07
Cystophora,cristata,55.75,2.75,1500:352:4,0.06
Cystophora,cristata,55.25,3.25,1500:353:1,0.03
Cystophora,cristata,55.25,3.75,1500:353:2,0.04
Cystophora,cristata,55.75,3.25,1500:353:3,0.05
Cystophora,cristata,55.75,3.75,1500:353:4,0.05
Cystophora,cristata,55.25,4.25,1500:354:1,0.04
Cystophora,cristata,55.25,4.75,1500:354:2,0.04
Cystophora,cristata,55.75,4.25,1500:354:3,0.04
Cystophora,cristata,55.75,4.75,1500:354:4,0.04
Cystophora,cristata,56.25,0.25,1500:360:1,0.08
Cystophora,cristata,56.25,0.75,1500:360:2,0.09
Cystophora,cristata,56.75,0.25,1500:360:3,0.09
Cystophora,cristata,56.75,0.75,1500:360:4,0.09
Cystophora,cristata,56.25,1.25,1500:361:1,0.09
Cystophora,cristata,56.25,1.75,1500:361:2,0.09
Cystophora,cristata,56.75,1.25,1500:361:3,0.09
Cystophora,cristata,56.75,1.75,1500:361:4,0.09
Cystophora,cristata,56.25,2.25,1500:362:1,0.08
Cystophora,cristata,56.25,2.75,1500:362:2,0.07
Cystophora,cristata,56.75,2.25,1500:362:3,0.08
Cystophora,cristata,56.75,2.75,1500:362:4,0.07
Cystophora,cristata,56.25,3.25,1500:363:1,0.07
Cystophora,cristata,56.25,3.75,1500:363:2,0.07
Cystophora,cristata,56.75,3.25,1500:363:3,0.07
Cystophora,cristata,56.75,3.75,1500:363:4,0.06
Cystophora,cristata,56.25,4.25,1500:364:1,0.06
Cystophora,cristata,56.25,4.75,1500:364:2,0.05
Cystophora,cristata,56.75,4.25,1500:364:3,0.06
Cystophora,cristata,56.75,4.75,1500:364:4,0.06
Cystophora,cristata,57.25,0.25,1500:370:1,0.08
Cystophora,cristata,57.25,0.75,1500:370:2,0.09
Cystophora,cristata,57.75,0.25,1500:370:3,0.11
Cystophora,cristata,57.75,0.75,1500:370:4,0.11
Cystophora,cristata,57.25,1.25,1500:371:1,0.09
Cystophora,cristata,57.25,1.75,1500:371:2,0.09
Cystophora,cristata,57.75,1.25,1500:371:3,0.1
Cystophora,cristata,57.75,1.75,1500:371:4,0.09
Cystophora,cristata,57.25,2.25,1500:372:1,0.08
Cystophora,cristata,57.25,2.75,1500:372:2,0.07
Cystophora,cristata,57.75,2.25,1500:372:3,0.08
Cystophora,cristata,57.75,2.75,1500:372:4,0.06
Cystophora,cristata,57.25,3.25,1500:373:1,0.07
Cystophora,cristata,57.25,3.75,1500:373:2,0.06
Cystophora,cristata,57.75,3.25,1500:373:3,0.06
Cystophora,cristata,57.75,3.75,1500:373:4,0.07
Cystophora,cristata,57.25,4.25,1500:374:1,0.05
Cystophora,cristata,57.25,4.75,1500:374:2,0.05
Cystophora,cristata,57.75,4.25,1500:374:3,0.06
Cystophora,cristata,57.75,4.75,1500:374:4,0.07
Cystophora,cristata,58.25,0.25,1500:380:1,0.14
Cystophora,cristata,58.25,0.75,1500:380:2,0.15
Cystophora,cristata,58.75,0.25,1500:380:3,0.14
Cystophora,cristata,58.75,0.75,1500:380:4,0.14
Cystophora,cristata,58.25,1.25,1500:381:1,0.13
Cystophora,cristata,58.25,1.75,1500:381:2,0.11
Cystophora,cristata,58.75,1.25,1500:381:3,0.12
Cystophora,cristata,58.75,1.75,1500:381:4,0.11
Cystophora,cristata,58.25,2.25,1500:382:1,0.08
Cystophora,cristata,58.25,2.75,1500:382:2,0.07
