Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Pagophilus,groenlandicus,56.75,16.75,1501:466:4,0.02
Pagophilus,groenlandicus,56.25,17.25,1501:467:1,0.01
Pagophilus,groenlandicus,56.25,17.75,1501:467:2,0.01
Pagophilus,groenlandicus,56.75,17.25,1501:467:3,0.01
Pagophilus,groenlandicus,56.75,17.75,1501:467:4,0.01
Pagophilus,groenlandicus,56.25,18.25,1501:468:1,0.01
Pagophilus,groenlandicus,56.25,18.75,1501:468:2,0.01
Pagophilus,groenlandicus,56.75,18.75,1501:468:4,0.01
Pagophilus,groenlandicus,56.25,19.25,1501:469:1,0.02
Pagophilus,groenlandicus,56.25,19.75,1501:469:2,0.03
Pagophilus,groenlandicus,56.75,19.25,1501:469:3,0.01
Pagophilus,groenlandicus,56.75,19.75,1501:469:4,0.01
Pagophilus,groenlandicus,57.25,16.75,1501:476:2,0.01
Pagophilus,groenlandicus,57.75,16.75,1501:476:4,0.02
Pagophilus,groenlandicus,57.25,17.25,1501:477:1,0.01
Pagophilus,groenlandicus,57.25,17.75,1501:477:2,0.01
Pagophilus,groenlandicus,57.75,17.25,1501:477:3,0.02
Pagophilus,groenlandicus,57.75,17.75,1501:477:4,0.01
Pagophilus,groenlandicus,57.25,18.25,1501:478:1,0.01
Pagophilus,groenlandicus,57.75,18.25,1501:478:3,0.01
Pagophilus,groenlandicus,57.25,19.75,1501:479:2,0.01
Pagophilus,groenlandicus,57.75,19.75,1501:479:4,0.01
Pagophilus,groenlandicus,58.25,16.75,1501:486:2,0.01
Pagophilus,groenlandicus,58.25,17.25,1501:487:1,0.02
Pagophilus,groenlandicus,58.25,17.75,1501:487:2,0.01
Pagophilus,groenlandicus,58.75,17.25,1501:487:3,0.01
Pagophilus,groenlandicus,58.75,17.75,1501:487:4,0.03
Pagophilus,groenlandicus,58.25,18.25,1501:488:1,0.01
Pagophilus,groenlandicus,58.25,18.75,1501:488:2,0.01
Pagophilus,groenlandicus,58.75,18.25,1501:488:3,0.07
Pagophilus,groenlandicus,58.75,18.75,1501:488:4,0.02
Pagophilus,groenlandicus,58.25,19.25,1501:489:1,0.01
Pagophilus,groenlandicus,58.25,19.75,1501:489:2,0.01
Pagophilus,groenlandicus,58.75,19.25,1501:489:3,0.01
Pagophilus,groenlandicus,58.75,19.75,1501:489:4,0.01
Pagophilus,groenlandicus,59.25,18.75,1501:498:2,0.01
Pagophilus,groenlandicus,59.25,19.25,1501:499:1,0.01
Pagophilus,groenlandicus,59.25,19.75,1501:499:2,0.01
Pagophilus,groenlandicus,59.75,19.25,1501:499:3,0.01
Pagophilus,groenlandicus,59.75,19.75,1501:499:4,0.01
Pagophilus,groenlandicus,54.75,20.25,1502:140:3,0.02
Pagophilus,groenlandicus,54.75,20.75,1502:140:4,0.02
Pagophilus,groenlandicus,54.75,21.25,1502:141:3,0.03
Pagophilus,groenlandicus,55.25,20.25,1502:350:1,0.03
Pagophilus,groenlandicus,55.25,20.75,1502:350:2,0.02
Pagophilus,groenlandicus,55.75,20.25,1502:350:3,0.04
Pagophilus,groenlandicus,55.75,20.75,1502:350:4,0.03
Pagophilus,groenlandicus,55.25,21.25,1502:351:1,0.02
Pagophilus,groenlandicus,55.75,21.25,1502:351:3,0.01
Pagophilus,groenlandicus,56.25,20.25,1502:360:1,0.05
Pagophilus,groenlandicus,56.25,20.75,1502:360:2,0.02
Pagophilus,groenlandicus,56.75,20.25,1502:360:3,0.03
Pagophilus,groenlandicus,56.75,20.75,1502:360:4,0.04
Pagophilus,groenlandicus,56.25,21.25,1502:361:1,0.01
Pagophilus,groenlandicus,56.75,21.25,1502:361:3,0.02
Pagophilus,groenlandicus,57.25,20.25,1502:370:1,0.02
Pagophilus,groenlandicus,57.25,20.75,1502:370:2,0.02
Pagophilus,groenlandicus,57.75,20.25,1502:370:3,0.01
Pagophilus,groenlandicus,57.75,20.75,1502:370:4,0.01
Pagophilus,groenlandicus,57.25,21.25,1502:371:1,0.03
Pagophilus,groenlandicus,57.25,21.75,1502:371:2,0.01
Pagophilus,groenlandicus,57.75,21.25,1502:371:3,0.01
Pagophilus,groenlandicus,57.75,21.75,1502:371:4,0.02
Pagophilus,groenlandicus,58.25,20.25,1502:380:1,0.01
Pagophilus,groenlandicus,58.25,20.75,1502:380:2,0.01
Pagophilus,groenlandicus,58.75,20.25,1502:380:3,0.02
Pagophilus,groenlandicus,58.75,20.75,1502:380:4,0.02
Pagophilus,groenlandicus,58.25,21.25,1502:381:1,0.01
Pagophilus,groenlandicus,58.25,21.75,1502:381:2,0.02
Pagophilus,groenlandicus,58.75,21.25,1502:381:3,0.02
Pagophilus,groenlandicus,58.75,21.75,1502:381:4,0.01
Pagophilus,groenlandicus,58.75,22.25,1502:382:3,0.01
Pagophilus,groenlandicus,58.75,22.75,1502:382:4,0.01
Pagophilus,groenlandicus,58.75,23.25,1502:383:3,0.01
Pagophilus,groenlandicus,59.25,20.25,1502:390:1,0.02
Pagophilus,groenlandicus,59.25,20.75,1502:390:2,0.03
Pagophilus,groenlandicus,59.75,20.25,1502:390:3,0.01
Pagophilus,groenlandicus,59.75,20.75,1502:390:4,0.01
Pagophilus,groenlandicus,59.25,21.25,1502:391:1,0.05
Pagophilus,groenlandicus,59.25,21.75,1502:391:2,0.04
Pagophilus,groenlandicus,59.75,21.25,1502:391:3,0.02
Pagophilus,groenlandicus,59.75,21.75,1502:391:4,0.02
Pagophilus,groenlandicus,59.25,22.25,1502:392:1,0.03
Pagophilus,groenlandicus,59.25,22.75,1502:392:2,0.03
Pagophilus,groenlandicus,59.75,22.25,1502:392:3,0.01
Pagophilus,groenlandicus,59.75,22.75,1502:392:4,0.01
Pagophilus,groenlandicus,59.25,23.25,1502:393:1,0.03
Pagophilus,groenlandicus,59.25,23.75,1502:393:2,0.02
Pagophilus,groenlandicus,59.75,23.25,1502:393:3,0.01
Pagophilus,groenlandicus,59.75,23.75,1502:393:4,0.01
Pagophilus,groenlandicus,59.75,29.75,1502:499:4,0.01
Pagophilus,groenlandicus,59.75,30.25,1503:390:3,0.03
Pagophilus,groenlandicus,61.75,5.75,1600:215:4,0.02
Pagophilus,groenlandicus,64.75,11.75,1601:141:4,0.05
Pagophilus,groenlandicus,60.75,17.25,1601:207:3,0.01
Pagophilus,groenlandicus,60.75,17.75,1601:207:4,0.01
Pagophilus,groenlandicus,60.25,18.75,1601:208:2,0.01
Pagophilus,groenlandicus,60.75,18.25,1601:208:3,0.01
Pagophilus,groenlandicus,60.25,19.25,1601:209:1,0.01
Pagophilus,groenlandicus,60.25,19.75,1601:209:2,0.01
Pagophilus,groenlandicus,61.25,17.75,1601:217:2,0.01
Pagophilus,groenlandicus,61.75,17.25,1601:217:3,0.01
Pagophilus,groenlandicus,61.75,17.75,1601:217:4,0.01
Pagophilus,groenlandicus,61.25,18.25,1601:218:1,0.01
Pagophilus,groenlandicus,61.25,18.75,1601:218:2,0.01
Pagophilus,groenlandicus,61.75,18.25,1601:218:3,0.01
Pagophilus,groenlandicus,61.75,18.75,1601:218:4,0.01
Pagophilus,groenlandicus,61.25,19.25,1601:219:1,0.01
Pagophilus,groenlandicus,61.75,19.25,1601:219:3,0.01
Pagophilus,groenlandicus,62.25,17.25,1601:227:1,0.03
Pagophilus,groenlandicus,62.25,17.75,1601:227:2,0.02
Pagophilus,groenlandicus,62.75,17.75,1601:227:4,0.06
Pagophilus,groenlandicus,62.25,18.25,1601:228:1,0.02
Pagophilus,groenlandicus,62.25,18.75,1601:228:2,0.01
Pagophilus,groenlandicus,62.75,18.25,1601:228:3,0.01
Pagophilus,groenlandicus,62.75,18.75,1601:228:4,0.01
Pagophilus,groenlandicus,62.25,19.25,1601:229:1,0.01
Pagophilus,groenlandicus,62.75,19.25,1601:229:3,0.01
Pagophilus,groenlandicus,62.75,19.75,1601:229:4,0.01
Pagophilus,groenlandicus,63.25,18.75,1601:238:2,0.01
Pagophilus,groenlandicus,63.25,19.25,1601:239:1,0.01
Pagophilus,groenlandicus,63.25,19.75,1601:239:2,0.01
Pagophilus,groenlandicus,65.25,11.75,1601:351:2,0.19
Pagophilus,groenlandicus,65.25,12.25,1601:352:1,0.06
Pagophilus,groenlandicus,65.75,12.25,1601:352:3,0.06
Pagophilus,groenlandicus,65.75,12.75,1601:352:4,0.06
Pagophilus,groenlandicus,66.25,13.25,1601:363:1,0.05
Pagophilus,groenlandicus,66.75,13.75,1601:363:4,0.04
Pagophilus,groenlandicus,67.25,15.25,1601:475:1,0.06
Pagophilus,groenlandicus,67.75,15.25,1601:475:3,0.1
