id,left,top,right,bottom,Commonname,Validname,Family,Class,Order,RES,Type,OBJECTID,Id_2,Shape_Leng,Shape_Area,Area
116044.000000000000000,-19.000000000000000,28.500000000000000,-18.500000000000000,28.000000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.000000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,2718.8832182566
116045.000000000000000,-19.000000000000000,28.000000000000000,-18.500000000000000,27.500000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.000000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,2731.2637856573
116046.000000000000000,-19.000000000000000,27.500000000000000,-18.500000000000000,27.000000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.000000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,2743.4371344478
116047.000000000000000,-19.000000000000000,27.000000000000000,-18.500000000000000,26.500000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.000000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,2755.4025000326
116048.000000000000000,-19.000000000000000,26.500000000000000,-18.500000000000000,26.000000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.000000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,2767.1591329698
116049.000000000000000,-19.000000000000000,26.000000000000000,-18.500000000000000,25.500000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.000000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,2778.7062989190
116050.000000000000000,-19.000000000000000,25.500000000000000,-18.500000000000000,25.000000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.030000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,2790.0432785875
116051.000000000000000,-19.000000000000000,25.000000000000000,-18.500000000000000,24.500000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.060000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,2801.1693676785
116052.000000000000000,-19.000000000000000,24.500000000000000,-18.500000000000000,24.000000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.160000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,2812.0838768373
116053.000000000000000,-19.000000000000000,24.000000000000000,-18.500000000000000,23.500000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.150000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,2822.7861315981
116054.000000000000000,-19.000000000000000,23.500000000000000,-18.500000000000000,23.000000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.140000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,2833.2754723289
116055.000000000000000,-19.000000000000000,23.000000000000000,-18.500000000000000,22.500000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.140000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,2843.5512541791
116320.000000000000000,-18.500000000000000,70.500000000000000,-18.000000000000000,70.000000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.000000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,1052.2889154336
116321.000000000000000,-18.500000000000000,70.000000000000000,-18.000000000000000,69.500000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.000000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,1077.7438582833
116322.000000000000000,-18.500000000000000,69.500000000000000,-18.000000000000000,69.000000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.000000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,1103.1111715684
116323.000000000000000,-18.500000000000000,69.000000000000000,-18.000000000000000,68.500000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.000000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,1128.3888450685
116324.000000000000000,-18.500000000000000,68.500000000000000,-18.000000000000000,68.000000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.000000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,1153.5748793069
116325.000000000000000,-18.500000000000000,68.000000000000000,-18.000000000000000,67.500000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.190000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,1178.6672857538
