"Internal_reference","Survey","Polygon","Commonname","Validname","Family","Class","Order","RES","Type","Partial_cell_area","Density","Uncertainty","Uncertainty_measure","CI_95_low","CI_95_high","Location","Study_area"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (low)","CS (low)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.92,"Native Range",550.04690498918,0.013374143322909,0.54,"CV abundance",0.00286113513873179,0.0626122829196886,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (low)","CS (low)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.6,"Native Range",1327.1456118147,0.013374143322909,0.54,"CV abundance",0.00286113513873179,0.0626122829196886,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (low)","CS (low)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.83,"Native Range",1200.11478469418,0.013374143322909,0.54,"CV abundance",0.00286113513873179,0.0626122829196886,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (low)","CS (low)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.96,"Native Range",285.026049229733,0.013374143322909,0.54,"CV abundance",0.00286113513873179,0.0626122829196886,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (low)","CS (low)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.93,"Native Range",420.239055504721,0.013374143322909,0.54,"CV abundance",0.00286113513873179,0.0626122829196886,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (low)","CS (low)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.7,"Native Range",1327.1456118147,0.013374143322909,0.54,"CV abundance",0.00286113513873179,0.0626122829196886,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (low)","CS (low)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.57,"Native Range",1324.84933685599,0.013374143322909,0.54,"CV abundance",0.00286113513873179,0.0626122829196886,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (low)","CS (low)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.79,"Native Range",514.580980850306,0.013374143322909,0.54,"CV abundance",0.00286113513873179,0.0626122829196886,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (low)","CS (low)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.83,"Native Range",829.906856066255,0.013374143322909,0.54,"CV abundance",0.00286113513873179,0.0626122829196886,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (low)","CS (low)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.64,"Native Range",219.005780207855,0.013374143322909,0.54,"CV abundance",0.00286113513873179,0.0626122829196886,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","East Baffin Island","EB Island","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.91,"Native Range",302.393069768616,0.0211888804440452,0.72,"CV abundance",0.00534328289458532,0.0839494230636357,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","East Baffin Island","EB Island","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.86,"Native Range",568.548607827901,0.0211888804440452,0.72,"CV abundance",0.00534328289458532,0.0839494230636357,"Northwest Atlantic","N"
